Date,Predicted,Actual
05-01-2006 0:00:00,59617542,3602857,48245500
06-01-2006 0:00:00,61769234,3769712,100963000
09-01-2006 0:00:00,62598279,8030939,55625000
10-01-2006 0:00:00,63301606,0395614,64921900
11-01-2006 0:00:00,63922882,5794887,70120700
12-01-2006 0:00:00,64477528,9672415,45994800
13-01-2006 0:00:00,64972691,0982361,41418000
17-01-2006 0:00:00,65414748,4908109,58566600
18-01-2006 0:00:00,65809396,4780015,52376200
19-01-2006 0:00:00,66161719,5844797,60367600
20-01-2006 0:00:00,66476257,0340233,79165900
23-01-2006 0:00:00,66757061,2314952,47925600
24-01-2006 0:00:00,67007749,9727952,63040700
25-01-2006 0:00:00,67231553,0554428,59072100
26-01-2006 0:00:00,67431353,8903061,69509300
27-01-2006 0:00:00,67609726,6505908,134520700
30-01-2006 0:00:00,67768969,436705,103999200
31-01-2006 0:00:00,67911133,8842862,94841300
01-02-2006 0:00:00,68038051,5968511,68448800
02-02-2006 0:00:00,68151357,7436182,55073400
