Date,Predicted,Actual
01/01/1990 00:00:00,122,945228845242,148
02/01/1990 00:00:00,127,829989338619,133
03/01/1990 00:00:00,129,278019080726,156
04/01/1990 00:00:00,129,252569391898,145
05/01/1990 00:00:00,129,100144682445,143
06/01/1990 00:00:00,128,9490162424,153
07/01/1990 00:00:00,128,799173047867,164
08/01/1990 00:00:00,128,650604168698,148
09/01/1990 00:00:00,128,5032987677,174
10/01/1990 00:00:00,128,357246099844,188
11/01/1990 00:00:00,128,212435511477,221
12/01/1990 00:00:00,128,068856439552,190
13/01/1990 00:00:00,127,926498410851,155
14/01/1990 00:00:00,127,785351041224,158
15/01/1990 00:00:00,127,645404034833,147
16/01/1990 00:00:00,127,506647183397,107
17/01/1990 00:00:00,127,36907036545,115
18/01/1990 00:00:00,127,232663545603,150
19/01/1990 00:00:00,127,09741677381,145
20/01/1990 00:00:00,126,963320184646,145
21/01/1990 00:00:00,126,830363996582,133
22/01/1990 00:00:00,126,698538511275,143
23/01/1990 00:00:00,126,567834112861,143
24/01/1990 00:00:00,126,438241267252,205
25/01/1990 00:00:00,126,309750521439,150
26/01/1990 00:00:00,126,182352502807,171
27/01/1990 00:00:00,126,056037918449,169
28/01/1990 00:00:00,125,930797554485,169
29/01/1990 00:00:00,125,806622275396,136
30/01/1990 00:00:00,125,683503023352,164
31/01/1990 00:00:00,125,561430817556,161
01/02/1990 00:00:00,125,440396753585,120
02/02/1990 00:00:00,125,320392002742,122
03/02/1990 00:00:00,125,201407811413,148
04/02/1990 00:00:00,125,083435500428,148
05/02/1990 00:00:00,124,966466464425,144
06/02/1990 00:00:00,124,850492171228,129
07/02/1990 00:00:00,124,73550416122,134
08/02/1990 00:00:00,124,621494046727,159
09/02/1990 00:00:00,124,508453511406,161
10/02/1990 00:00:00,124,396374309641,176
11/02/1990 00:00:00,124,285248265938,156
12/02/1990 00:00:00,124,175067274329,150
13/02/1990 00:00:00,124,065823297784,130
14/02/1990 00:00:00,123,957508367621,141
15/02/1990 00:00:00,123,850114582927,173
16/02/1990 00:00:00,123,743634109981,157
17/02/1990 00:00:00,123,638059181682,186
18/02/1990 00:00:00,123,533382096983,127
19/02/1990 00:00:00,123,429595220329,140
20/02/1990 00:00:00,123,326690981102,137
21/02/1990 00:00:00,123,224661873064,163
22/02/1990 00:00:00,123,123500453815,200
23/02/1990 00:00:00,123,023199344247,170
24/02/1990 00:00:00,122,923751228005,152
25/02/1990 00:00:00,122,825148850957,165
26/02/1990 00:00:00,122,72738502066,165
27/02/1990 00:00:00,122,630452605841,173
28/02/1990 00:00:00,122,53434453587,191
01/03/1990 00:00:00,122,43905380025,193
02/03/1990 00:00:00,122,344573448104,173
03/03/1990 00:00:00,122,250896587667,190
04/03/1990 00:00:00,122,158016385782,198
05/03/1990 00:00:00,122,065926067407,193
06/03/1990 00:00:00,121,974618915113,172
07/03/1990 00:00:00,121,884088268603,142
08/03/1990 00:00:00,121,794327524217,103
09/03/1990 00:00:00,121,705330134457,130
10/03/1990 00:00:00,121,617089607506,153
11/03/1990 00:00:00,121,529599506756,150
12/03/1990 00:00:00,121,442853450338,121
13/03/1990 00:00:00,121,356845110658,92
14/03/1990 00:00:00,121,27156821393,110
15/03/1990 00:00:00,121,187016539726,150
16/03/1990 00:00:00,121,103183920518,116
17/03/1990 00:00:00,121,020064241227,116
18/03/1990 00:00:00,120,937651438779,151
19/03/1990 00:00:00,120,855939501664,150
20/03/1990 00:00:00,120,774922469494,136
21/03/1990 00:00:00,120,694594432572,125
22/03/1990 00:00:00,120,614949531457,143
23/03/1990 00:00:00,120,53598195654,160
24/03/1990 00:00:00,120,457685947617,174
25/03/1990 00:00:00,120,380055793473,169
26/03/1990 00:00:00,120,303085831462,180
27/03/1990 00:00:00,120,226770447094,206
28/03/1990 00:00:00,120,151104073629,142
29/03/1990 00:00:00,120,076081191665,109
30/03/1990 00:00:00,120,001696328741,119
31/03/1990 00:00:00,119,927944058936,133
01/04/1990 00:00:00,119,854819002471,153
02/04/1990 00:00:00,119,78231582532,147
03/04/1990 00:00:00,119,710429238818,110
04/04/1990 00:00:00,119,639153999278,122
05/04/1990 00:00:00,119,568484907605,142
06/04/1990 00:00:00,119,498416808921,170
07/04/1990 00:00:00,119,428944592185,158
08/04/1990 00:00:00,119,360063189823,152
09/04/1990 00:00:00,119,291767577358,151
10/04/1990 00:00:00,119,22405277304,147
11/04/1990 00:00:00,119,156913837488,185
12/04/1990 00:00:00,119,090345873327,164
13/04/1990 00:00:00,119,024344024829,184
14/04/1990 00:00:00,118,958903477563,151
15/04/1990 00:00:00,118,89401945804,99
16/04/1990 00:00:00,118,829687233366,102
17/04/1990 00:00:00,118,765902110898,126
18/04/1990 00:00:00,118,702659437902,132
19/04/1990 00:00:00,118,639954601209,115
