Date,Predicted,Actual
12/11/2013 00:00:00,27463025,8998058,37380001
13/11/2013 00:00:00,27446907,0427876,3698
14/11/2013 00:00:00,27462837,1569179,37869999
15/11/2013 00:00:00,27442752,4336683,37950001
18/11/2013 00:00:00,27421030,3719043,37349998
19/11/2013 00:00:00,27399379,8780729,36849998
20/11/2013 00:00:00,27377800,7163785,36919998
21/11/2013 00:00:00,27356292,6518021,3727
22/11/2013 00:00:00,27334855,4500992,37529999
25/11/2013 00:00:00,27313488,8777972,3793
26/11/2013 00:00:00,27292192,7021925,3757
27/11/2013 00:00:00,27270966,6913482,3757
29/11/2013 00:00:00,27249810,6140918,3782
02/12/2013 00:00:00,27228724,2400121,3809
03/12/2013 00:00:00,27207707,3394574,38139999
04/12/2013 00:00:00,27186759,6835324,38209999
05/12/2013 00:00:00,27165881,0440959,38849998
06/12/2013 00:00:00,27145071,1937585,38419998
09/12/2013 00:00:00,27124329,9058801,38560001
10/12/2013 00:00:00,27103656,954567,38610001
11/12/2013 00:00:00,27083052,1146699,38060001
12/12/2013 00:00:00,27062515,1617815,37639999
13/12/2013 00:00:00,27042045,8722335,37419998
16/12/2013 00:00:00,27021644,0230947,3673
17/12/2013 00:00:00,27001309,3921684,36939999
18/12/2013 00:00:00,26981041,7579901,36360001
19/12/2013 00:00:00,26960840,8998247,36509998
20/12/2013 00:00:00,26940706,5976645,36200001
23/12/2013 00:00:00,26920638,6322266,36810001
24/12/2013 00:00:00,26900636,7849508,36720001
26/12/2013 00:00:00,26880700,8379966,37200001
27/12/2013 00:00:00,26860830,5742415,37580002
30/12/2013 00:00:00,26841025,7772784,37220001
31/12/2013 00:00:00,26821286,2314129,37400002
02/01/2014 00:00:00,26801611,7216616,37349998
03/01/2014 00:00:00,26782002,0337492,37200001
06/01/2014 00:00:00,26762456,9541064,36849998
07/01/2014 00:00:00,26742976,2698676,36330002
08/01/2014 00:00:00,26723559,7688685,3600
09/01/2014 00:00:00,26704207,2396438,35880001
10/01/2014 00:00:00,26684918,471425,35900002
13/01/2014 00:00:00,26665693,2541379,35990002
14/01/2014 00:00:00,26646531,3784005,3473
15/01/2014 00:00:00,26627432,6355207,35900002
16/01/2014 00:00:00,26608396,8174939,36689999
17/01/2014 00:00:00,26589423,7170009,36830002
21/01/2014 00:00:00,26570513,1274054,3682
22/01/2014 00:00:00,26551664,842752,36259998
23/01/2014 00:00:00,26532878,657764,3609
24/01/2014 00:00:00,26514154,3678409,37450001
27/01/2014 00:00:00,26495491,7690562,36869999
28/01/2014 00:00:00,26476890,6581553,36119999
29/01/2014 00:00:00,26458350,8325536,3598
30/01/2014 00:00:00,26439872,0903335,36790001
31/01/2014 00:00:00,26421454,230243,36950001
03/02/2014 00:00:00,26403097,0516929,37740002
04/02/2014 00:00:00,26384800,3547551,36970001
05/02/2014 00:00:00,26366563,9401601,36290001
06/02/2014 00:00:00,26348387,6092949,35799999
07/02/2014 00:00:00,26330271,164201,3632
10/02/2014 00:00:00,26312214,4075721,36630001
11/02/2014 00:00:00,26294217,1427518,36880001
12/02/2014 00:00:00,26276279,1737317,37349998
13/02/2014 00:00:00,26258400,3051494,37330002
14/02/2014 00:00:00,26240580,3422858,37389999
18/02/2014 00:00:00,26222819,0910637,37630001
19/02/2014 00:00:00,26205116,3580451,37220001
20/02/2014 00:00:00,26187471,9504293,3757
21/02/2014 00:00:00,26169885,6760511,37939999
24/02/2014 00:00:00,26152357,343378,37689999
25/02/2014 00:00:00,26134886,761509,37610001
26/02/2014 00:00:00,26117473,7401717,37580002
27/02/2014 00:00:00,26100118,0897208,37450001
28/02/2014 00:00:00,26082819,6211358,3798
03/03/2014 00:00:00,26065578,1460189,37919998
04/03/2014 00:00:00,26048393,476593,38200001
05/03/2014 00:00:00,26031265,4256998,3825
06/03/2014 00:00:00,26014193,8067974,38139999
07/03/2014 00:00:00,25997178,4339589,38279999
10/03/2014 00:00:00,25980219,1218696,37990002
11/03/2014 00:00:00,25963315,6858254,37869999
12/03/2014 00:00:00,25946467,941731,37799999
13/03/2014 00:00:00,25929675,7060974,38419998
14/03/2014 00:00:00,25912938,7960402,37650002
17/03/2014 00:00:00,25896257,0292776,37900002
18/03/2014 00:00:00,25879630,2241283,38259998
19/03/2014 00:00:00,25863058,1995097,39470001
20/03/2014 00:00:00,25846540,7749357,3925
21/03/2014 00:00:00,25830077,7705149,40720001
24/03/2014 00:00:00,25813669,0069486,4034
25/03/2014 00:00:00,25797314,3055288,4066
26/03/2014 00:00:00,25781013,4881362,4048
27/03/2014 00:00:00,25764766,3772387,39740002
28/03/2014 00:00:00,25748572,7958886,39790001
31/03/2014 00:00:00,25732432,5677217,4043
01/04/2014 00:00:00,25716345,5169545,41150002
02/04/2014 00:00:00,25700311,4683829,41439999
03/04/2014 00:00:00,25684330,2473799,41290001
04/04/2014 00:00:00,25668401,6798938,4125
07/04/2014 00:00:00,25652525,5924465,39959999
08/04/2014 00:00:00,25636701,8121315,3975
09/04/2014 00:00:00,25620930,1666118,3993
10/04/2014 00:00:00,25605210,4841182,40439999
11/04/2014 00:00:00,25589542,5934475,3900
14/04/2014 00:00:00,25573926,3239608,39110001
15/04/2014 00:00:00,25558361,5055809,3934
16/04/2014 00:00:00,25542847,9687914,40060001
17/04/2014 00:00:00,25527385,5446342,40009998
21/04/2014 00:00:00,25511974,0647079,40130001
22/04/2014 00:00:00,25496613,3611659,39959999
23/04/2014 00:00:00,25481303,2667147,39990002
